Oligo Number,Study (comments here),Chemistry,Oligo,Distance from Donor (position of 1st base relative to donor),Distance from acceptor (position of last base relative to acceptor),Length,ACP,Targeted exon,Exon Length,Exon Malueka Category,L1 (WeeEtal),L3 (WeeEtal),niscore,niscore_per_base,ACC_FL,ACC_LAST8,ACC_LAST15,ACC_BEST8,ACC_AVE,Skip level,% skip,Skip level (num),Skip or No skip,"Tm (for DNA to DNA, simple calc from http://www.promega.com/techserv/tools/biomath/calc11.htm)",%GC,GCs (number of),%GC 5' intron 200 bases upstream,%GC fold increase target over 5' intron,%GC increase target over 5' intron,Decrease in GC% due to blocking by oligo,Decrease in ratio of exon to intron %GC due to oligo blocking,%GC exon,Total GCs in exon,Total GCs in target,# exon GCs blocked by oligo,Length of exon when blocked by oligo,%GC of exon when blocked by oligo,Exon v intron %GC,Exon v intron %GC after blocking by oligo,Exon-oligo binding energy,"dG (TargetAsExon, RNAstructure)","dG (50BaseFlanksAroundTarget, RNA structure)","dG (100BaseFlanks, RNAstructure)","dG (200BaseFlanks, RNAstructure)","dG (ExonStartTo10BaseDownFromOligo, RNAstructure)",RNAeval target-oligo,oligo_oligo binding energy, Min free E (RNAcofold), Free E of ensemble (RNAcofold), dG TargetAsExon oligo::target (RNAcofold), dG 50bp flanks oligo::target (RNAcofold), dG 100bp flanks oligo::target (RNAcofold), dG 150bp flanks oligo::target (RNAcofold), Free E oligo dimer (RNAcofold), Free E target monomer (RNAcofold), Free E oligo monomer (RNAcofold)
270,2009 Popplewell,PMO,h44A30/1,109,9,30,0.159,44,148,C,,,3.62152,0.121,5.11E-08,0.1516537,0.000383062,0.1536244,0.372331362,Excellent (>50%),97,2,1,61.62,47,14,0.285,1.65,18.5,2.84,0.1,0.36,53,14.1,38.9,118,33,1.26,1.16,-47.5,-47.9,-44.9,-36,-35.1,-49.4,-54.4,-11.2,-67.3,-69.73,-44.03,-42.53,-32.19,-34.96,-11.579672,-26.249881,-0.955015
271,2009 Popplewell,PMO,h44A30/2,104,14,30,0.193,44,148,C,,,-3.23488,-0.108,6.31E-08,0.08751282,0.01812818,0.1903092,0.435190495,Excellent (>50%),95,2,1,60.2533333333,43,13,0.285,1.51,14.5,1.83,0.06,0.36,53,12.9,40.1,118,34,1.26,1.19,-44,-44.4,-44.9,-36.4,-32.8,-46.4,-51.3,-8.6,-65.7,-68.43,-41.11,-39.78,-30.44,-32.91,-7.860375,-28.127001,-0.517366
272,2009 Popplewell,PMO,h44A30/3,99,19,30,0.226,44,148,C,,,-9.24028,-0.308,1.14E-06,0.1783768,0.04938928,0.2035393,0.440283078,Excellent (>50%),52.1,2,1,57.52,37,11,0.285,1.3,8.5,0.3,0.01,0.36,53,11.1,41.9,118,35.5,1.26,1.25,-42.5,-42.9,-39,-34.5,-27.1,-45.2,-48.6,-8.6,-62.5,-65.44,-39.8,-35.34,-30.7,-29.92,-7.740559,-29.565153,-0.53577
273,2009 Popplewell,PMO,h44E30/I,69,49,30,0.429,44,148,C,,,5.94676,0.198,2.29E-06,0.008347632,0.000185339,0.1997781,0.474031896,Good (30-50%),35,2,1,56.1533333333,33,10,0.285,1.16,4.5,-0.71,-0.03,0.36,53,9.9,43.1,118,36.5,1.26,1.28,-35.2,-36.8,-35.8,-40.9,-35.2,-37.5,-48.1,-7.1,-64.5,-67.83,-33.71,-32.76,-37.83,-33.63,-7.545737,-32.599505,-2.468092
274,2009 Popplewell,PMO,h44B30/2,64,54,30,0.463,44,148,C,,,11.74846,0.392,3.49E-07,0.003488526,0.000998112,0.03407723,0.44779588,Excellent (>50%),80.5,2,1,57.52,37,11,0.285,1.3,8.5,0.3,0.01,0.36,53,11.1,41.9,118,35.5,1.26,1.25,-36.9,-38.5,-37.9,-37.9,-36.3,-37.8,-50,-10.7,-64.2,-68.09,-34.93,-33.26,-35.03,-38.21,-10.889872,-31.781996,-3.04253
275,2009 Popplewell,PMO,h44B30/3,59,59,30,0.497,44,148,C,,,12.8322,0.428,6.52E-09,0.002009322,7.99E-06,0.03407723,0.385305123,Excellent (>50%),61,2,1,60.2533333333,43,13,0.285,1.51,14.5,1.83,0.06,0.36,53,12.9,40.1,118,34,1.26,1.19,-35.4,-36.9,-38.7,-39.5,-38.4,-40.6,-53.9,-11.4,-64,-67.86,-35.44,-35.46,-36.78,-38.43,-12.367815,-29.271435,-3.130451
276,2009 Popplewell,PMO,h44B30/4,54,64,30,0.53,44,148,C,,,8.4945,0.283,8.07E-09,0.000316797,1.66E-05,0.03407723,0.409174486,Low (<10%),5,0,0,60.2533333333,43,13,0.285,1.51,14.5,1.83,0.06,0.36,53,12.9,40.1,118,34,1.26,1.19,-38.2,-39.6,-40.3,-36.8,-35.3,-43.6,-54.6,-14.6,-66.4,-70.53,-36.61,-37.29,-34.41,-35.69,-14.925914,-29.582873,-3.660387
277,2009 Popplewell,PMO,h44B30/5,49,69,30,0.564,44,148,C,,,12.94444,0.431,7.25E-08,0.01243491,9.96E-05,0.02310708,0.402655833,Excellent (>50%),63.3,2,1,58.8866666667,40,12,0.285,1.4,11.5,1.07,0.04,0.36,53,12,41,118,34.7,1.26,1.22,-35.9,-37.5,-38.1,-30.4,-31.1,-39.8,-51.4,-14.6,-67.2,-70.01,-36.1,-37.1,-31.59,-35.7,-14.506996,-29.635642,-3.268133
278,2009 Popplewell,PMO,h44B30/6,44,74,30,0.598,44,148,C,,,11.11034,0.37,3.06E-07,0.4408325,0.002361762,0.4408325,0.414057919,Good (30-50%),32.5,2,1,57.52,37,11,0.285,1.3,8.5,0.3,0.01,0.36,53,11.1,41.9,118,35.5,1.26,1.25,-34.6,-35.3,-34.4,-29,-28.5,-35.7,-49.4,-9.6,-65.6,-68.57,-34.62,-36.64,-27.98,-33.58,-10.905503,-29.037475,-2.899038
279,2009 Popplewell,PMO,h44B30/7,39,79,30,0.632,44,148,C,,,5.7565,0.192,2.55E-07,0.01452374,0.001516279,0.4408325,0.40958042,Medium (10-30%),26,1,1,57.52,37,11,0.285,1.3,8.5,0.3,0.01,0.36,53,11.1,41.9,118,35.5,1.26,1.25,-33.9,-35.5,-35.5,-33.2,-24.5,-35.4,-49.1,-10.9,-60.5,-63.76,-32.92,-31.92,-29.61,-30.13,-12.210402,-28.277581,-3.553741
